Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"Agilent Technologies","A","39271.95","1630189","Electronics - Testing Equipment","Computer and Technology"
"Alcoa","AA","11569.13","4911706","Metal Products - Distribution","Industrial Products"
"AAC Technologies","AACAY","4913.85","52830","Electronics - Miscellaneous Components","Computer and Technology"
"ATA","AACG","33.24","72724","Schools","Consumer Discretionary"
"Aadi Bioscience","AADI","52.38","88861","Medical - Biomedical and Genetics","Medical"
"AIA","AAGIY","85597.95","422554","Insurance - Life Insurance","Finance"
"African Agriculture Holdings Inc.","AAGR","0","43932","Agriculture - Operations","Consumer Staples"
"American Airlines","AAL","9074.98","31583564","Transportation - Airline","Transportation"
"Altisource Asset Management","AAMCF","3.19","1844","Financial - Investment Management","Finance"
"Atlantic American","AAME","34.53","4244","Insurance - Accident and Health","Finance"
"Applied Optoelectronics","AAOI","1251.37","3682340","Electronics - Semiconductors","Computer and Technology"
"AAON","AAON","11236.1","425872","Building Products - Air Conditioner and Heating","Construction"
"Advance Auto Parts","AAP","2261.66","2541013","Automotive - Retail and Wholesale - Parts","Retail-Wholesale"
"AAP","AAPJ",".65","107261704","Communication - Components","Computer and Technology"
"Apple","AAPL","3430687.25","43587320","Computer - Micro Computers","Computer and Technology"
"American Assets Trust","AAT","1701.59","204266","REIT and Equity Trust - Retail","Finance"
"Autoscope Technologies","AATC","43.3","8004","Technology Services","Business Services"
"Advantage Oil & Gas","AAVVF","1074.46","48533","Alternative Energy - Other","Oils-Energy"
"Ascend Wellness Holdings, Inc.","AAWH","128.6","118654","Medical Services","Medical"
"AllianceBernstein","AB","4227.66","332424","Financial - Investment Management","Finance"
"American Battery Technology Company","ABAT","72.83","328007","Electronics - Miscellaneous Products","Computer and Technology"
"ABB","ABBNY","106241.11","167684","Manufacturing - Electronics","Industrial Products"
"AbbVie","ABBV","352544.5","5485107","Large Cap Pharmaceuticals","Medical"
"Ameris Bancorp","ABCB","4813.97","402735","Banks - Southeast","Finance"
"AbCellera Biologics","ABCL","797.49","2079409","Medical - Biomedical and Genetics","Medical"
"AmBase","ABCP","13.96","51107","Financial - Investment Management","Finance"
"Abeona Therapeutics","ABEO","277.21","212820","Medical - Biomedical and Genetics","Medical"
"Ambev","ABEV","34185.82","19432660","Beverages - Alcohol","Consumer Staples"
"Asbury Automotive Group","ABG","5101.55","217995","Automotive - Retail and Whole Sales","Retail-Wholesale"
"Abacus Life, Inc.","ABL","673.35","59872","Insurance - Life Insurance","Finance"
"American Biltrite","ABLT","4.53","0","Building Products - Miscellaneous","Construction"
"Able View Global Inc.","ABLV","38.12","11481","Business - Services","Business Services"
"ABM Industries","ABM","3624.94","393761","Building Products - Maintenance Service","Business Services"
"Advanced Biomedical Technologies","ABMT",".04","0","Medical - Instruments","Medical"
"Airbnb","ABNB","86368.94","4566717","Leisure and Recreation Services","Consumer Discretionary"
"Acumen Pharmaceuticals","ABOS","196.46","221993","Medical - Biomedical and Genetics","Medical"
"Arbor Realty Trust","ABR","2929.09","2136007","REIT and Equity Trust","Finance"
"Absci Corporation","ABSI","462.17","901465","Medical - Biomedical and Genetics","Medical"
"Abbott Laboratories","ABT","202220.13","5593701","Medical - Products","Medical"
"ABITS GROUP","ABTS","20.98","203774","Advertising and Marketing","Business Services"
"Arbutus Biopharma","ABUS","710.59","906982","Medical - Biomedical and Genetics","Medical"
"ABVC BioPharma","ABVC","6.54","313814","Medical - Biomedical and Genetics","Medical"
"Above Food Ingredients Inc.","ABVE","3.6","60990","Food - Miscellaneous","Consumer Staples"
"Abivax SA Sponsored ADR","ABVX","662.7","149142","Medical - Biomedical and Genetics","Medical"
"Associated Capital Group","AC","772.55","11206","Financial - Investment Management","Finance"
"Arcosa","ACA","5156.69","262670","Building Products - Miscellaneous","Construction"
"ACADIA Pharmaceuticals","ACAD","2938.48","1351494","Medical - Biomedical and Genetics","Medical"
"Safeplus International Holdings Limited","ACAI","0","5","Medical - Products","Medical"
"Aurora Cannabis","ACB","264.34","1239099","Medical - Products","Medical"
"Accolade","ACCD","286.71","1298909","Technology Services","Business Services"
"Acco Brands","ACCO","559.14","668575","Office Supplies","Industrial Products"
"ProFrac Holding Corp.","ACDC","1116.22","673642","Alternative Energy - Other","Oils-Energy"
"Air Canada","ACDVF","5814.76","322535","Transportation - Airline","Transportation"
"Accel Entertainment","ACEL","975.77","197333","Gaming","Consumer Discretionary"
"Adicet Bio","ACET","107.94","302095","Medical - Biomedical and Genetics","Medical"
"Acorn Energy","ACFN","42.18","6872","Electronics - Miscellaneous Products","Computer and Technology"
"Agri Bank China","ACGBY","176391.45","12077","Banks - Foreign","Finance"
"Arch Capital Group","ACGL","38320.23","2166793","Insurance - Property and Casualty","Finance"
"Acadia Healthcare","ACHC","3791.58","1879610","Medical - Hospital","Medical"
"Arch Biopartners Inc.","ACHFF","93.74","10024","Medical - Drugs","Medical"
"Achilles Therapeutics","ACHL","43.14","77985","Medical - Biomedical and Genetics","Medical"
"Archer Aviation","ACHR","1383.1","14518547","Aerospace - Defense","Aerospace"
"Achieve Life Sciences","ACHV","159.23","96679","Medical - Drugs","Medical"
"Albertsons Companies","ACI","11158.24","3464531","Consumer Products - Staples","Consumer Staples"
"American Coastal Insurance Corporation","ACIC","632.63","269209","Insurance - Property and Casualty","Finance"
"AC Immune","ACIU","316.61","89455","Medical - Biomedical and Genetics","Medical"
"ACI Worldwide","ACIW","6084.59","585993","Computer - Software","Computer and Technology"
"Accelleron Industries AG - Unsponsored ADR","ACLLY","5424.3","1603","Manufacturing - General Industrial ","Industrial Products"
"Axcelis Technologies","ACLS","2775.1","672420","Electronics - Manufacturing Machinery","Computer and Technology"
"Arcellx","ACLX","5572.94","658618","Medical - Biomedical and Genetics","Medical"
"AECOM","ACM","14799.63","672141","Engineering - R and D Services","Construction"
"ACM Research","ACMR","1107.19","1263490","Semiconductor Equipment - Material Services","Computer and Technology"
"Acmat","ACMT","37.78","0","Insurance - Multi line","Finance"
"Acmat","ACMTA","22.4","0","Insurance - Multi line","Finance"
"Accenture","ACN","222264.34","2363622","Computers - IT Services","Computer and Technology"
"ACNB","ACNB","406.49","15868","Banks - Southwest","Finance"
"Ascent Industries Co.","ACNT","97.4","37111","Manufacturing - General Industrial ","Industrial Products"
"Alpha Cognition Inc.","ACOGD","51.89","5842","Medical - Biomedical and Genetics","Medical"
"Aclarion","ACON","1.92","729325","Medical Services","Medical"
"ACRES Commercial Realty","ACR","124.95","21841","REIT and Equity Trust","Finance"
"Ares Commercial Real Estate","ACRE","394.89","457444","REIT and Equity Trust","Finance"
"American Clean Resources Group, Inc.","ACRG","72.83","262","Mining - Miscellaneous","Basic Materials"
"Aclaris Therapeutics","ACRS","188.58","1041199","Medical - Drugs","Medical"
"Acrivon Therapeutics, Inc.","ACRV","265.43","49999","Medical - Drugs","Medical"
"Enact Holdings","ACT","5185.17","569293","Insurance - Multi line","Finance"
"Acacia Research","ACTG","470.76","256116","Business - Services","Business Services"
"Actuate Therapeutics, Inc.","ACTU","171.1","50086","Medical - Biomedical and Genetics","Medical"
"Acme United","ACU","153.38","18944","Consumer Products - Discretionary","Consumer Discretionary"
"Acura Pharmaceuticals","ACUR",".11","526","Medical - Generic Drugs","Medical"
"ACV Auctions","ACVA","3353.39","1137497","Internet - Commerce","Retail-Wholesale"
"","ACWI","19674.86","2088875","Financial - Investment Funds","Finance"
"Acurx Pharmaceuticals","ACXP","30.22","34018","Medical - Biomedical and Genetics","Medical"
"Adagene","ADAG","116.88","56576","Medical - Biomedical and Genetics","Medical"
"Adaptimmune Therapeutics","ADAP","203.8","1162009","Medical - Biomedical and Genetics","Medical"
"Adobe","ADBE","217758.14","2461743","Computer - Software","Computer and Technology"
"Agree Realty","ADC","7848.05","1187987","REIT and Equity Trust - Retail","Finance"
"","ADCOF","7.53","2579","Advertising and Marketing","Business Services"
"ADC Therapeutics","ADCT","283.3","325390","Medical - Biomedical and Genetics","Medical"
"Color Star Technology","ADD","8.3","1444863","Technology Services","Business Services"
"ADEIA INC","ADEA","1254.56","390220","Technology Services","Business Services"
"Adagio Medical Holdings, Inc.","ADGM","33.6","12812","Medical - Instruments","Medical"
"Analog Devices","ADI","112108.22","2656922","Semiconductor - Analog and Mixed","Computer and Technology"
"Adial Pharmaceuticals","ADIL","6.66","147963","Medical - Biomedical and Genetics","Medical"
"Archer Daniels Midland","ADM","24925.54","3065235","Agriculture - Operations","Consumer Staples"
"ADMA Biologics","ADMA","5272.33","4133127","Medical - Biomedical and Genetics","Medical"
"Adamant Dri Processing And Minerals Group","ADMG","9.76","0","Mining - Miscellaneous","Basic Materials"
"Advent Technologies Holdings","ADN","9.41","3547083","Manufacturing - Electronics","Industrial Products"
"Adient","ADNT","1771.7","1074967","Automotive - Original Equipment","Auto-Tires-Trucks"
"Automatic Data Processing","ADP","124164.35","1659490","Outsourcing","Business Services"
"Adaptive Biotechnologies","ADPT","858.91","965228","Medical - Biomedical and Genetics","Medical"
"Ahold","ADRNY","32390.01","117111","Consumer Products - Staples","Consumer Staples"
"ADS-TEC Energy","ADSE","693.52","126653","Technology Services","Business Services"
"Autodesk","ADSK","65695.4","1231020","Computer - Software","Computer and Technology"
"ADT","ADT","7083.77","10021783","Security and Safety Services","Industrial Products"
"ADTRAN Holdings, Inc.","ADTN","640.2","590349","Technology Services","Business Services"
"Aditx Therapeutics","ADTX","1.51","4246300","Medical - Drugs","Medical"
"Addus HomeCare","ADUS","2313.42","134143","Medical - Outpatient and Home Healthcare","Medical"
"Advantage Solutions","ADV","1182.79","453851","Consumer Products - Discretionary","Consumer Discretionary"
"Adverum Biotechnologies","ADVM","166.42","160451","Medical - Biomedical and Genetics","Medical"
"","ADX","2783.72","220146","Financial - Investment Funds","Finance"
"Addex Therapeutics","ADXN","11.18","34278","Medical - Drugs","Medical"
"Ayala Pharmaceuticals, Inc.","ADXS","4.48","742","Medical - Drugs","Medical"
"Adyen","ADYEY","42998.82","640556","Internet - Software","Computer and Technology"
"Adams Resources & Energy","AE","72.67","3023","Oil and Gas - Refining and Marketing","Oils-Energy"
"Ameren","AEE","24074.21","1365263","Utility - Electric Power","Utilities"
"","AEF","274.06","86074","Financial - Investment Funds","Finance"
"Aegon","AEG","14417.34","2964909","Insurance - Multi line","Finance"
"Antelope Enterprise Holdings L","AEHL","3.47","1717397","Diversified Operations","Conglomerates"
"Aehr Test Systems","AEHR","355.57","1462464","Electronics - Measuring Instruments","Computer and Technology"
"ALSET INC","AEI","13.21","30331","Diversified Operations","Conglomerates"
"Advanced Energy Industries","AEIS","4421.31","253510","Semiconductor Equipment - Wafer Fabrication","Computer and Technology"
"Agnico Eagle Mines","AEM","42065.79","2553837","Mining - Gold","Basic Materials"
"Aethlon Medical","AEMD","5.62","249645","Medical - HMOs","Medical"
"Alliance Entertainment Holding Corporation","AENT","252.24","94087","Media Conglomerates","Consumer Discretionary"
"American Eagle Outfitters","AEO","3597.35","3558636","Retail - Apparel and Shoes","Retail-Wholesale"
"AEON Biopharma, Inc.","AEON","29.34","80691","Medical - Biomedical and Genetics","Medical"
"American Electric Power","AEP","51296.37","3189705","Utility - Electric Power","Utilities"
"W2 Energy","AEPT",".9","322867","Alternative Energy - Other","Oils-Energy"
"Aercap","AER","19302.32","1105898","Financial - Leasing Companies","Finance"
"Applied Energetics","AERG","179.59","81195","Lasers Systems and Components","Computer and Technology"
"Aeries Technology, Inc.","AERT","56.52","76443","Technology Services","Business Services"
"AES","AES","9669.97","13011233","Utility - Electric Power","Utilities"
"Atlas Energy Solutions Inc.","AESI","2274.88","1065135","Oil and Gas - Integrated - United States","Oils-Energy"
"Arc Resources","AETUF","10568.26","17386","Oil and Gas - Exploration and Production - Canadian","Oils-Energy"
"Aeva Technologies","AEVA","232.77","306364","Automotive - Original Equipment","Auto-Tires-Trucks"
"ATOS ORIGIN","AEXAY","78.5","3300","Technology Services","Business Services"
"Audioeye","AEYE","386.53","168954","Internet - Software","Computer and Technology"
"ADDvantage Technologies Group","AEYGQ","0","810","Electronics - Miscellaneous Products","Computer and Technology"
"Affinity Bancshares","AFBI","136.84","7262","Banks - Southeast","Finance"
"AFC Gamma","AFCG","200.06","129728","REIT and Equity Trust","Finance"
"American Financial Group","AFG","11643.33","306493","Insurance - Property and Casualty","Finance"
"Acutus Medical","AFIB","2.44","226965","Medical - Drugs","Medical"
"Aflac","AFL","60147.06","2134030","Insurance - Accident and Health","Finance"
"Air France-KLM","AFLYY","2286.1","41957","Transportation - Airline","Transportation"
"Affimed","AFMD","58.63","108087","Medical - Biomedical and Genetics","Medical"
"FORAFRIC GLOBAL","AFRI","284.92","8635","Agriculture - Operations","Consumer Staples"
"Affirm","AFRM","14460.71","9855372","Financial Transaction Services","Business Services"
"Afya","AFYA","1665.45","129927","Schools","Consumer Discretionary"
"First Majestic Silver","AG","1951.46","10596898","Mining - Silver","Basic Materials"
"Allied Gaming & Entertainment Inc.","AGAE","45.82","35030","Gaming","Consumer Discretionary"
"AGCO","AGCO","6856.92","874670","Manufacturing - Farm Equipment","Industrial Products"
"Agenus","AGEN","84.24","328889","Medical - Biomedical and Genetics","Medical"
"Ageas","AGESY","9694.99","4737","Insurance - Multi line","Finance"
"Agrify","AGFY","7.51","1150445","Technology Services","Business Services"
"","AGG","119785.84","8669226","Financial - Investment Funds","Finance"
"Alamos Gold","AGI","8142.47","2288092","Mining - Gold","Basic Materials"
"Agios Pharmaceuticals","AGIO","3368.2","622770","Medical - Products","Medical"
"Agilon Health","AGL","758.11","4731979","Medical Services","Medical"
"Federal Agricultural Mortgage","AGM","2260.28","53934","Financial - Mortgage & Related Services","Finance"
"AGNC Investment","AGNC","8555.28","24530360","REIT and Equity Trust","Finance"
"Assured Guaranty","AGO","4607.19","247391","Insurance - Multi line","Finance"
"Agile Property Holdings","AGPYY","490.48","15","Real Estate - Development","Finance"
"Avangrid","AGR","13890.11","649429","Utility - Electric Power","Utilities"
"AgriFORCE Growing Systems","AGRI","4.77","25924540","Agriculture - Operations","Consumer Staples"
"Adecoagro","AGRO","1196.51","664869","Agriculture - Operations","Consumer Staples"
"PlayAGS","AGS","475.98","184613","Gaming","Consumer Discretionary"
"Argan","AGX","2096.36","373899","Building Products - Miscellaneous","Construction"
"Agilysys","AGYS","3320.8","246488","Computer - Integrated Systems","Computer and Technology"
"Allergy Therapeutics","AGYTF","41.34","0","Medical - Drugs","Medical"
"","AGZ","711.46","24173","Financial - Investment Funds","Finance"
"AdaptHealth","AHCO","1356.8","900594","Medical - Products","Medical"
"Adecco","AHEXY","4759.73","63678","Outsourcing","Business Services"
"Akso Health Group","AHG","125.53","16163","Internet - Commerce","Retail-Wholesale"
"Armada Hoffler Properties","AHH","1002.82","544230","REIT and Equity Trust - Residential","Finance"
"Advanced Human Imaging","AHI","14.77","0","Technology Services","Business Services"
"COREwafer Industries","AHIX","14.45","18421","Electronics - Testing Equipment","Computer and Technology"
"Athena Gold","AHNR","8.34","36930","Mining - Gold","Basic Materials"
"American Healthcare REIT, Inc.","AHR","3433.35","1301478","REIT and Equity Trust - Other","Finance"
"Ashford Hospitality Trust","AHT","45.08","45624","REIT and Equity Trust - Other","Finance"
"C3.ai","AI","3501.02","2744266","Computers - IT Services","Computer and Technology"
"AiAdvertising, Inc.","AIAD","2.55","255892","Technology Services","Business Services"
"Thunder Power Holdings, Inc.","AIEV","25.82","85984","Automotive - Domestic","Auto-Tires-Trucks"
"Firefly Neuroscience, Inc.","AIFF","23.86","566378","Technology Services","Business Services"
"Agent Information Software","AIFS","6.09","2496","Computer - Software","Computer and Technology"
"AIX Inc.","AIFU","70.32","178608","Insurance - Brokerage","Finance"
"American International Group","AIG","47144.49","3794029","Insurance - Multi line","Finance"
"Senmiao Technology","AIHS","9.78","20568","Internet - Services","Computer and Technology"
"Jianpu Technology","AIJTY","12.11","8229","Technology Services","Business Services"
"iLearningEngines, Inc.","AILE","214.58","730977","Computers - IT Services","Computer and Technology"
"AIM ImmunoTech","AIM","15.54","225989","Medical - Drugs","Medical"
"Ainos","AIMD","3.86","297839","Medical - Drugs","Medical"
"Albany International","AIN","2565.35","279540","Textile - Products","Industrial Products"
"PowerFleet","AIOT","581.89","831983","Transportation - Services","Transportation"
"Arteris","AIP","333.87","95708","Internet - Software","Computer and Technology"
"Air Liquide","AIQUY","100410.22","108900","Chemical - Diversified ","Basic Materials"
"AAR","AIR","2365.24","249816","Aerospace - Defense Equipment","Aerospace"
"reAlpha Tech Corp.","AIRE","48.16","44411","Technology Services","Business Services"
"Airgain","AIRG","108.38","34403","Communication - Components","Computer and Technology"
"Air Industries Group","AIRI","19.39","66567","Aerospace - Defense","Aerospace"
"Montana Technologies Corporation","AIRJ","341.35","30364","Technology Services","Business Services"
"AirSculpt Technologies","AIRS","499.9","160676","Technology Services","Business Services"
"Air T","AIRT","41.84","21908","Transportation - Air Freight and Cargo","Transportation"
"Air China","AIRYY","9939.64","824","Transportation - Airline","Transportation"
"Airship AI Holdings, Inc.","AISP","63.69","526549","Technology Services","Business Services"
"Applied Industrial Technologies","AIT","10312.51","261619","Manufacturing - General Industrial ","Industrial Products"
"Apartment Investment and Management","AIV","1206.44","903070","REIT and Equity Trust - Residential","Finance"
"XIAO-I Corporation Unsponsored ADR","AIXI","57.8","155439","Technology Services","Business Services"
"Assurant","AIZ","10739.06","292991","Insurance - Multi line","Finance"
"Arthur J. Gallagher & Co.","AJG","64672.54","843733","Insurance - Brokerage","Finance"
"Ajinomoto","AJINY","20983.23","25453","Food - Miscellaneous","Consumer Staples"
"Great Ajax","AJX","140.8","128596","REIT and Equity Trust","Finance"
"a.k.a. Brands Holding Corp.","AKA","261.97","7659","Retail - Apparel and Shoes","Retail-Wholesale"
"Akamai Technologies","AKAM","13541.86","1943454","Internet - Services","Computer and Technology"
"Akanda Corp.","AKAN","2.31","1849025","Medical - Products","Medical"
"Akebia Therapeutics","AKBA","423.27","2427199","Medical - Drugs","Medical"
"oceansix future paths Ltd.","AKMYF","2.64","500","Waste Removal Services","Business Services"
"Embotelladora Andina","AKO.A","2128.21","2844","Beverages - Soft drinks","Consumer Staples"
"Embotelladora Andina","AKO.B","2831.82","16707","Beverages - Soft drinks","Consumer Staples"
"Acadia Realty Trust","AKR","2991.37","1177905","REIT and Equity Trust - Retail","Finance"
"Akero Therapeutics","AKRO","2391.89","576832","Medical - Biomedical and Genetics","Medical"
"Akoustis Technologies","AKTS","7.5","11293715","Semiconductors - Radio Frequency","Computer and Technology"
"Akari Therapeutics","AKTX","29.75","16294","Medical - Biomedical and Genetics","Medical"
"Akoya Biosciences","AKYA","156.91","100475","Medical - Biomedical and Genetics","Medical"
"AkzoNobel","AKZOY","10826.05","77046","Chemical - Diversified ","Basic Materials"
"Air Lease","AL","5244.74","685109","Transportation - Equipment and Leasing","Transportation"
"Astera Labs, Inc.","ALAB","15750.06","5160030","Electronics - Semiconductors","Computer and Technology"
"ALARUM TEC LTD","ALAR","98.16","501171","Technology Services","Business Services"
"Albemarle","ALB","11852.77","2226856","Chemical - Diversified ","Basic Materials"
"Avalon GloboCare","ALBT","3.49","1979753","Medical - Biomedical and Genetics","Medical"
"Community Capital Bancshares","ALBY","27.04","454","Banks - Southeast","Finance"
"Alcon","ALC","45679.37","615665","Medical - Instruments","Medical"
"Alternus Clean Energy, Inc.","ALCE","7.02","273526","Alternative Energy - Other","Oils-Energy"
"Alico","ALCO","200.82","26914","Agriculture - Operations","Consumer Staples"
"Aldeyra Therapeutics","ALDX","328.01","384011","Medical - Drugs","Medical"
"Allete","ALE","3768.06","235990","Utility - Electric Power","Utilities"
"Alector","ALEC","563.11","587002","Medical - Biomedical and Genetics","Medical"
"Alexander & Baldwin Holdings","ALEX","1432.32","271306","REIT and Equity Trust - Other","Finance"
"Alfa Laval","ALFVY","18178.09","9117","Engineering - R and D Services","Construction"
"Alamo Group","ALG","2358.72","96816","Manufacturing - Farm Equipment","Industrial Products"
"Allegro MicroSystems","ALGM","3997.97","1818822","Electronics - Semiconductors","Computer and Technology"
"Align Technology","ALGN","16461.75","1016400","Medical - Dental Supplies","Medical"
"Aligos Therapeutics","ALGS","32.57","135790","Medical - Biomedical and Genetics","Medical"
"Allegiant","ALGT","1352.32","470780","Transportation - Airline","Transportation"
"Alignment Healthcare","ALHC","2620.49","1269715","Medical Services","Medical"
"Alight","ALIT","4010.46","3303369","Internet - Software","Computer and Technology"
"Allianz","ALIZY","120375.24","88266","Insurance - Multi line","Finance"
"Alaska Air Group","ALK","6434.12","2239508","Transportation - Airline","Transportation"
"Alkermes","ALKS","4669.62","1880973","Medical - Biomedical and Genetics","Medical"
"Alkami Technology","ALKT","3805.81","952215","Internet - Software","Computer and Technology"
"Allstate","ALL","52139.8","1595194","Insurance - Property and Casualty","Finance"
"Allegion","ALLE","12498.69","980571","Security and Safety Services","Industrial Products"
"Atlantic Lithium Limited","ALLIF","32.07","50844","Mining - Miscellaneous","Basic Materials"
"Allakos","ALLK","120.61","1220379","Medical - Biomedical and Genetics","Medical"
"Allogene Therapeutics","ALLO","645.79","2238880","Medical - Biomedical and Genetics","Medical"
"Allarity Therapeutics, Inc.","ALLR","1.91","697788","Medical - Biomedical and Genetics","Medical"
"Allot","ALLT","148.77","119102","Technology Services","Business Services"
"Ally Financial","ALLY","11445.09","3901452","Financial - Consumer Loans","Finance"
"Alumis Inc.","ALMS","567.57","68363","Medical - Biomedical and Genetics","Medical"
"ALLIENT INC","ALNT","381.55","165791","Electronics - Miscellaneous Components","Computer and Technology"
"Alnylam Pharmaceuticals","ALNY","35783.18","928303","Medical - Biomedical and Genetics","Medical"
"AstroNova","ALOT","102.43","11059","Technology Services","Business Services"
"Astellas Pharma","ALPMY","20213.94","82200","Medical - Drugs","Medical"
"Alpine 4 Holdings, Inc.","ALPP",".32","335349","Diversified Operations","Conglomerates"
"Alarm.com","ALRM","3139.24","371140","Security and Safety Services","Industrial Products"
"Aileron Therapeutics","ALRN","82.33","77820","Medical - Biomedical and Genetics","Medical"
"Alerus Financial","ALRS","574.67","82055","Financial - Miscellaneous Services","Finance"
"Alstom","ALSMY","9922.46","359248","Transportation - Rail","Transportation"
"Allison Transmission Holdings","ALSN","10304.65","549872","Automotive - Original Equipment","Auto-Tires-Trucks"
"Altimmune","ALT","545.83","1988224","Medical - Drugs","Medical"
"Alta Equipment Group","ALTG","261.76","303341","Manufacturing - General Industrial ","Industrial Products"
"AlTi Global, Inc.","ALTI","676.76","144447","Financial - Miscellaneous Services","Finance"
"ARCADIUM LITHM","ALTM","5764.29","19933106","Chemical - Specialty","Basic Materials"
"Alto Ingredients","ALTO","99.43","1099917","Consumer Products - Discretionary","Consumer Discretionary"
"Altair Engineering","ALTR","8818.67","1582141","Engineering - R and D Services","Construction"
"ALT5 Sigma Corporation","ALTS","32.05","170883","Financial - Miscellaneous Services","Finance"
"Altex Industries","ALTX","2.7","375","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Allurion Technologies, Inc.","ALUR","47.51","118738","Medical - Products","Medical"
"Autoliv","ALV","7783.82","908194","Automotive - Original Equipment","Auto-Tires-Trucks"
"Alvopetro Energy","ALVOF","130.57","14102","Alternative Energy - Other","Oils-Energy"
"AlloVir","ALVR","71.41","430320","Medical - Drugs","Medical"
"ALX Oncology Holdings","ALXO","76.48","784602","Medical - Biomedical and Genetics","Medical"
"Alithya Group","ALYAF","103.65","2540","Technology Services","Business Services"
"Alzamend Neuro","ALZN","5.8","341930","Medical - Biomedical and Genetics","Medical"
"Antero Midstream","AM","7393.14","2688802","Oil and Gas - Integrated - United States","Oils-Energy"
"Amalgamated Financial","AMAL","1094.28","215063","Financial - SBIC & Commercial Industry","Finance"
"Applied Materials","AMAT","158310.33","6542322","Semiconductor Equipment - Wafer Fabrication","Computer and Technology"
"Ambarella","AMBA","2545.4","312447","Electronics - Semiconductors","Computer and Technology"
"Ambu A/S Unsponsored ADR","AMBBY","4022.76","617","Medical - Hospital","Medical"
"Ambac","AMBC","541.3","466500","Insurance - Property and Casualty","Finance"
"AMBIPAR EMERGNC","AMBI","332.58","15296","Industrial Services","Industrial Products"
"American Bank","AMBK","94.7","667","Banks - Northeast","Finance"
"Ambow Education Holding","AMBO","4.43","36949","Schools","Consumer Discretionary"
"Ardagh Metal Packaging","AMBP","2234.98","1901788","Metal Products - Procurement and Fabrication","Industrial Products"
"Amarantus Bioscience Holdings","AMBS",".06","38631","Medical Services","Medical"
"American Business Bank","AMBZ","383.18","8396","Banks - Southwest","Finance"
"AMC Entertainment","AMC","1542.99","7618459","Leisure and Recreation Services","Consumer Discretionary"
"Amcor","AMCR","14771.41","7372157","Containers - Paper and Packaging","Industrial Products"
"AMC Networks","AMCX","377.48","818767","Broadcast Radio and Television","Consumer Discretionary"
"Advanced Micro Devices","AMD","240094.33","36596532","Computer - Integrated Systems","Computer and Technology"
"Amada","AMDLY","3663.58","2","Manufacturing - Tools & Related Products","Industrial Products"
"AMETEK","AME","44161.26","1246584","Electronics - Testing Equipment","Computer and Technology"
"Amedisys","AMED","3167.36","406415","Medical - Outpatient and Home Healthcare","Medical"
"AMEN Properties","AMEN","26.31","2","Internet - Content","Computer and Technology"
"AMB Financial","AMFC","16.98","188","Financial - Savings and Loan","Finance"
"Affiliated Managers Group","AMG","5514.09","204517","Financial - Investment Management","Finance"
"Amgen","AMGN","174848.64","1854143","Medical - Biomedical and Genetics","Medical"
"American Homes 4 Rent","AMH","13656.99","2429096","REIT and Equity Trust - Residential","Finance"
"Autonomix Medical, Inc.","AMIX","12.88","1494523","Medical - Instruments","Medical"
"Amkor Technology","AMKR","6747.83","1612421","Electronics - Semiconductors","Computer and Technology"
"American Lithium","AMLI","155.19","784592","Mining - Miscellaneous","Basic Materials"
"Amylyx Pharmaceuticals","AMLX","459.27","1783493","Medical - Drugs","Medical"
"AmeraMex International","AMMX","5.5","18005","Transportation - Equipment and Leasing","Transportation"
"AMN Healthcare Services","AMN","1103.95","1001412","Medical Services","Medical"
"Armanino Foods of Distinction","AMNF","236.64","13733","Food - Miscellaneous","Consumer Staples"
"American Noble Gas, Inc.","AMNI",".03","0","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Applied Minerals","AMNL",".04","3200","Mining - Miscellaneous","Basic Materials"
"American Sierra Gold","AMNP","1.68","392","Mining - Miscellaneous","Basic Materials"
"Ameriprise Financial","AMP","53551.07","434613","Financial - Investment Management","Finance"
"Ampio Pharmaceuticals","AMPE","0","905","Medical - Drugs","Medical"
"AmpliTech Group","AMPG","10.54","44407","Communication - Components","Computer and Technology"
"Amphastar Pharmaceuticals","AMPH","2322.81","362451","Medical - Generic Drugs","Medical"
"Amplitude","AMPL","935.5","428326","Technology Services","Business Services"
"Altus Power","AMPS","500.05","1177125","Alternative Energy - Other","Oils-Energy"
"Amprius Technologies, Inc.","AMPX","192.12","2096626","Technology Services","Business Services"
"Amplify Energy","AMPY","262.88","260004","Oil and Gas - Exploration and Production - United States","Oils-Energy"
"Alpha Metallurgical Resources","AMR","3080.5","181131","Mining - Miscellaneous","Basic Materials"
"Ameresco","AMRC","1387.62","471174","Alternative Energy - Other","Oils-Energy"
"AMark Precious Metals","AMRK","731.67","288597","Precious Metals and Jewels","Consumer Discretionary"
"Amarin","AMRN","236.05","942540","Medical - Biomedical and Genetics","Medical"
"Amneal Pharmaceuticals","AMRX","2702.31","949557","Medical - Drugs","Medical"
"American Shared Hospital Services","AMS","20.54","9968","Medical - Instruments","Medical"
"American Superconductor","AMSC","1346.93","1407210","Electronics - Miscellaneous Components","Computer and Technology"
"AMERISAFE","AMSF","1124.14","124755","Insurance - Accident and Health","Finance"
"ams-OSRAM AG Unsponsored ADR","AMSSY","790.77","1385","Electronics - Semiconductors","Computer and Technology"
"Amesite","AMST","7.37","19814","Internet - Software","Computer and Technology"
