Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"LaZBoy","LZB","1715.33","353254","Furniture","Consumer Discretionary"
"LZG International, Inc.","LZGI",".88","785","Internet - Software","Computer and Technology"
"Macy's","M","4346.44","4609602","Retail - Regional Department Stores","Retail-Wholesale"
"Mastercard","MA","481641.03","2567559","Financial Transaction Services","Business Services"
"MidAmerica Apartment Communities","MAA","18600.33","659128","REIT and Equity Trust - Residential","Finance"
"The Marketing Alliance","MAAL","10.67","1164","Insurance - Brokerage","Finance"
"The Macerich Company","MAC","4216.15","1480620","REIT and Equity Trust - Retail","Finance"
"Mace Security International","MACE","1.15","324188","Chemical - Specialty","Basic Materials"
"MAG Silver","MAG","1658.08","768256","Mining - Silver","Basic Materials"
"MAGNERA CORP","MAGN","67.35","989479","Engineering - R and D Services","Construction"
"MAIA Biotechnology, Inc.","MAIA","69.57","148736","Medical - Biomedical and Genetics","Medical"
"Main Street Capital","MAIN","4516.52","343389","Financial - SBIC & Commercial Industry","Finance"
"Marks and Spencer Group","MAKSY","10009.44","22431","Retail - Supermarkets","Retail-Wholesale"
"Mama's Creations, Inc.","MAMA","295.73","228183","Food - Miscellaneous","Consumer Staples"
"Massimo Group","MAMO","181.41","151188","Leisure and Recreation Products","Consumer Discretionary"
"ManpowerGroup","MAN","3054.22","793435","Staffing Firms","Business Services"
"Manhattan Associates","MANH","17313.62","507145","Computer - Software","Computer and Technology"
"Manchester United","MANU","3030.79","214089","Leisure and Recreation Services","Consumer Discretionary"
"WM Technology","MAPS","115.56","506434","Technology Services","Business Services"
"Maquia Capital Acquisition","MAQC","56.58","10","Technology Services","Business Services"
"Marriott International","MAR","78032.47","1306891","Hotels and Motels","Consumer Discretionary"
"Marathon Digital","MARA","5668.64","48084280","Technology Services","Business Services"
"Remark Holdings","MARK","5.94","382198","Computers - IT Services","Computer and Technology"
"Marine Petroleum Trust","MARPS","8.02","7808","Oil and Gas - Royalty Trust - United States","Oils-Energy"
"Marubeni","MARUY","26709.98","11459","Diversified Operations","Conglomerates"
"Masco","MAS","17464.87","1629338","Building Products - Miscellaneous","Construction"
"Masimo","MASI","8695.52","660073","Medical - Instruments","Medical"
"Maison Luxe","MASN",".19","21808520","Retail - Miscellaneous","Retail-Wholesale"
"908 Devices","MASS","123.72","118484","Medical - Instruments","Medical"
"Mattel","MAT","6586.4","3115945","Toys - Games - Hobbies","Consumer Discretionary"
"Metalpha Technology Holding Limited","MATH","44.85","19949","Internet - Services","Computer and Technology"
"Mativ Holdings, Inc.","MATV","718.75","276385","Chemical - Specialty","Basic Materials"
"Matthews International","MATW","750.87","138702","Funeral Services","Consumer Staples"
"Matson","MATX","5500.93","250815","Transportation - Services","Transportation"
"Man Wah Holdings","MAWHY","3220.47","6","Furniture","Consumer Discretionary"
"MediaAlpha","MAX","804.92","765383","Technology Services","Business Services"
"Maxeon Solar Technologies","MAXN","4.84","2303650","Solar","Oils-Energy"
"","MBB","33949.92","2703195","Financial - Investment Funds","Finance"
"MasterBrand, Inc.","MBC","2165.84","783303","Furniture","Consumer Discretionary"
"Middlefield Banc","MBCN","262.95","12666","Banks - Northeast","Finance"
"MBIA","MBI","229.13","248446","Insurance - Multi line","Finance"
"Merchants Bancorp","MBIN","1801.02","218498","Banks - Northeast","Finance"
"Mustang Bio","MBIO","9.49","4625562","Medical - Biomedical and Genetics","Medical"
"Mobileye Global Inc.","MBLY","13341.74","6911647","Automotive - Original Equipment","Auto-Tires-Trucks"
"Microbot Medical","MBOT","17.27","241900","Medical - Instruments","Medical"
"Moleculin Biotech","MBRX","7.25","22617","Medical - Biomedical and Genetics","Medical"
"Malibu Boats","MBUU","866.68","226596","Leisure and Recreation Products","Consumer Discretionary"
"Mercantile Bank","MBWM","782.24","60850","Banks - Midwest","Finance"
"MBX Biosciences, Inc.","MBX","765.59","85230","Medical - Biomedical and Genetics","Medical"
"Moelis & Company","MC","5769.46","694751","Financial - Investment Bank","Finance"
"Metropolitan Bank Holding","MCB","692.73","98136","Banks - Northeast","Finance"
"Madison County Financial","MCBK","68.14","273","Banks - Southeast","Finance"
"MetroCity Bankshares","MCBS","862.04","39866","Banks - Southeast","Finance"
"Mestek","MCCK","256.5","311","Building Products - Air Conditioner and Heating","Construction"
"McDonald's","MCD","214247.8","5014929","Retail - Restaurants","Retail-Wholesale"
"The Monarch Cement Co.","MCEM","748.17","732","Building Products - Concrete and Aggregates","Construction"
"MasterCraft Boat","MCFT","367.16","143715","Leisure and Recreation Products","Consumer Discretionary"
"Microchip Technology","MCHP","39131.94","5619343","Semiconductor - Analog and Mixed","Computer and Technology"
"Marchex","MCHX","80.38","24420","Internet - Services","Computer and Technology"
"","MCI","390.95","20139","Financial - Investment Management","Finance"
"McKesson","MCK","79491.85","959132","Medical - Dental Supplies","Medical"
"mCloud Technologies Corp.","MCLDF","0","3607","Technology Services","Business Services"
"Moody's","MCO","86465.02","701638","Financial - Miscellaneous Services","Finance"
"micromobility.com Inc.","MCOM",".93","80081","Leisure and Recreation Products","Consumer Discretionary"
"MCRAE INDUSTRIE","MCRAA","92.87","124","Shoes and Retail Apparel ","Consumer Discretionary"
"Seres Therapeutics","MCRB","121.73","1848118","Medical - Biomedical and Genetics","Medical"
"Monarch Casino & Resort","MCRI","1528.57","92605","Gaming","Consumer Discretionary"
"The Marcus","MCS","687.88","366438","Leisure and Recreation Services","Consumer Discretionary"
"Medicure","MCUJF","7.27","353","Medical - Drugs","Medical"
"Mill City Ventures III, Ltd.","MCVT","12.45","10872","Financial - Miscellaneous Services","Finance"
"Mister Car Wash","MCW","2690.79","1566921","Consumer Services - Miscellaneous","Consumer Discretionary"
