Portfolio Start Year,Future Year,Annual Return,Cumulative Return
2015,2015,0.3855748019587713,0.38557480195877125
2015,2016,0.3749019918620405,0.9050295550869667
2015,2017,0.5122375743552838,1.8808572734598399
2015,2018,0.05607857807026205,2.0424116529788394
2015,2019,0.41235054310611247,3.29695175043703
2015,2020,0.4551349714575015,5.252644762726448
2015,2021,0.3567557891648362,7.483311979420304
2015,2022,-0.3553027950029813,4.469167522249997
2015,2023,0.7193392874707505,8.40335459076348
2016,2016,0.6632545911966103,0.6632545911966103
2016,2017,0.3432742972451712,1.2342071421294314
2016,2018,0.02383414599105073,1.2874575613291923
2016,2019,0.4813351814605052,2.3884913616947836
2016,2020,0.4276897180658825,3.837714276846704
2016,2021,0.3307765817812428,5.437916868976374
2016,2022,-0.31676714457994537,3.3985963253476656
2016,2023,0.594794246228853,6.014856111147834
2017,2017,0.670161559994339,0.6701615599943391
2017,2018,0.052040482714041936,0.7570775737868818
2017,2019,0.3792771089810949,1.423496876228287
2017,2020,0.5959522657030941,2.867785330540906
2017,2021,0.2157905576298527,3.7024168838108915
2017,2022,-0.300359125418248,2.290003061237449
2017,2023,0.4917673161024913,3.90791903663117
2018,2018,0.2742083219507614,0.2742083219507614
2018,2019,0.33282664711276067,0.6982988054688102
2018,2020,0.4360999222237388,1.4389267824464267
2018,2021,0.34197151041060153,2.2729702580205
2018,2022,-0.267695019519326,1.396812420913529
2018,2023,0.28975137902846243,2.0912921251457717
2019,2019,0.7667089453341134,0.7667089453341134
2019,2020,0.6412124378100049,1.8995446950725432
2019,2021,0.2298764952646905,2.5660818674391455
2019,2022,-0.3856440253655186,1.1908437012969273
2019,2023,0.645367139607292,2.604742234129578
2020,2020,1.5267233868534609,1.5267233868534609
2020,2021,0.21867982935538927,2.079266825918847
2020,2022,-0.4343004322905365,0.7419399122843837
2020,2023,0.5235098416436004,1.6538625999170486
2021,2021,0.5988203264679557,0.5988203264679557
2021,2022,-0.3609844974720567,0.021670974369811136
2021,2023,0.766681300478536,0.8049670056608309
2022,2022,-0.06740147331802798,-0.06740147331802793
2022,2023,0.09100769671677433,0.01747217055675554
2023,2023,0.7832838664725713,0.7832838664725714
