Ticker,Weight,Expected Return,Volatility,Sharpe Ratio,Max Drawdown,Start Price,End Price,Real Return
SWKS,0.010000000000040579,0.0421606511928827,0.36204411307801104,0.11549559539026623,-0.2597490288667009,139.12173461914062,144.96343994140625,0.04198988273297388
CRM,0.010000000000030276,0.15416749124522577,0.2820603626442666,0.5453490132671626,-0.20244538156018102,219.33628845214844,253.0068206787109,0.15351099658052347
CSCO,0.07499999999989161,0.47413958919991117,0.1919609718571608,2.468175868358629,-0.09945016077398103,39.22544479370117,57.73480224609375,0.4718711935515085
U,0.010000000000030726,-0.007595241570252709,0.539684213857227,-0.014714887265074882,-0.4808802557085601,144.0800018310547,142.99000549316406,-0.007565216019144283
PHG,0.010000000000052293,-0.3275835662038382,0.26468218944352445,-1.2389564922697827,-0.4353616363429275,52.54547500610352,35.38813018798828,-0.3265237361756135
GIB,0.010000000000050866,0.13474826094227188,0.19233142428748795,0.6988047358604124,-0.10207591415688011,78.02999877929688,88.5,0.13417917960394798
TMO,0.07499999999987601,0.41898943025469837,0.23784926810517926,1.760120107976003,-0.15222690665433591,467.6590576171875,662.682373046875,0.4170202891469026
IONQ,0.009999999999999922,0.5489838228205759,0.8476197639267133,0.6472686166301039,-0.5070967828073809,10.800000190734863,16.700000762939453,0.5462963396302623
DNA,0.010000000000024227,-0.2422614436362589,0.7125104207435993,-0.34049690694833995,-0.44302948945133913,404.7999877929688,332.3999938964844,-0.17885374525631836
HUM,0.010000000000051678,0.13324369052678575,0.21818004173702513,0.6091186832367174,-0.181606394414551,400.6284484863281,453.7843627929688,0.13268132731830873
ABT,0.06846167615737725,0.31123854374191073,0.21231200689967447,1.4643184692489968,-0.17196886801880865,101.57621002197266,133.04750061035156,0.3098293447015903
ACN,0.07499999999988252,0.6396252296392815,0.19668594188822602,3.2502530313385503,-0.08106171355506075,242.11849975585932,396.2054138183594,0.6364111549422036
AMD,0.010000000000024071,0.5618072082928116,0.42611930057400443,1.317614707292296,-0.24843191426333547,92.3000030517578,143.89999389648438,0.5590464695411934
SNAP,0.010000000000029378,-0.0518235857258359,0.6410849422540436,-0.08137726076954008,-0.4655276399623478,49.59000015258789,47.02999877929688,-0.05162333868549929
NVDA,0.07499999999983258,1.2520047301927741,0.45077325369754767,2.776692204185642,-0.24376630071251365,13.081207275390623,29.36419105529785,1.2447615451014244
