Ticker,Weight
LYB,3.976374764696669e-19
LYV,0.0
MA,0.0
MAA,4.770813070204361e-19
MAR,0.0
MAS,4.527194064753241e-18
MCD,4.01217644816831e-18
MCHP,3.703307462415161e-18
MCK,0.0
MCO,0.0
MDLZ,0.0
MDT,0.0
MET,8.613890750814377e-18
META,5.118457479634418e-19
MGM,1.7424618058376113e-17
MHK,4.75772086366179e-18
MKC,5.355820554628987e-18
MKTX,0.0
MLM,0.0
MMC,0.0
MMM,0.0
MNST,0.003655507012834342
MO,3.5208938864972355e-18
MOH,0.0
MOS,0.0
MPC,0.0
MPWR,4.145916998437822e-18
MRK,0.0
MS,5.349110078301781e-18
MSCI,3.1954140344767214e-18
MSFT,1.6623527485354605e-17
MSI,0.0
MTB,0.0
MTCH,9.649333937583413e-18
MTD,0.0
MU,8.32322839654942e-18
NCLH,0.0
NDAQ,0.0
NDSN,0.0
NEE,6.273231437364546e-18
NEM,0.0
NFLX,0.0
NI,0.0
NKE,0.0
NOC,0.0
NOW,5.5746124378230354e-18
NRG,0.0
NSC,0.0
NTAP,6.310829999431868e-18
NTRS,0.0
NUE,3.884864523113454e-18
NVDA,0.0
NVR,0.039169376436452324
NWS,1.1170113449223631e-17
NWSA,3.2178494444278294e-17
NXPI,0.0
O,0.000652148638870322
ODFL,0.0
OKE,0.0
OMC,3.1954970426269714e-18
ON,1.1639707981010079e-17
ORCL,4.02828377308286e-18
ORLY,0.0
OXY,3.965992494960044e-18
PANW,1.0040984888058647e-17
PARA,4.1240089604193016e-18
PAYC,4.488717548641295e-18
PAYX,0.0
PCAR,0.0
PCG,0.0
PEG,5.184464143079234e-18
PEP,7.208121691078772e-18
PFE,6.008404452083914e-18
PFG,0.0
PG,6.510262308979623e-18
PGR,2.010621304349354e-18
PH,0.0
PHM,5.040027036576042e-18
PKG,5.918206441586541e-18
PLD,8.952618737669498e-18
PM,0.0
PNC,0.0
PNR,0.0
PNW,2.048914212559739e-18
PODD,7.317057491258362e-18
POOL,1.3723438967370057e-17
PPG,0.0
PPL,1.8030124097119705e-18
PRU,7.732044425001346e-18
PSA,2.2993560913160587e-18
PSX,0.0
PTC,0.0
PWR,3.936282875562762e-18
QCOM,8.141803411731152e-19
RCL,0.0
REG,4.052800152722805e-18
REGN,1.0347975084765797e-17
RF,0.0
RJF,0.0
RL,0.0
RMD,1.6410719291937251e-18
ROK,3.908927757216871e-18
ROL,0.006799885970749524
ROP,0.0
ROST,5.9990069611081904e-18
RSG,0.0
RTX,0.0
RVTY,0.0
SBAC,0.0
SBUX,1.8430198781952374e-18
SCHW,0.0
SHW,4.998222297067017e-18
SJM,0.06184113158005495
SLB,0.0
SMCI,2.1918607129431134e-17
SNA,8.412141993818814e-18
SNPS,3.1404753260742653e-18
SO,0.04618756218454539
SPG,1.6313603907557805e-18
SPGI,6.4786964030014445e-18
SRE,6.90020331603021e-18
STE,0.0
STLD,4.0279738257417655e-19
STT,2.88557641746673e-18
STX,3.0060861889091804e-18
STZ,0.0
SWK,5.7399701155129766e-18
SWKS,3.0398423429145858e-18
SYF,0.0056072255544496515
SYK,1.1259452500911045e-17
SYY,0.038194635617412404
T,0.0393486500849004
TAP,1.0120543642325669e-17
TDG,0.0
TDY,0.0
TECH,0.0
TEL,7.485038700980115e-18
TER,1.1395499989655184e-17
TFC,0.0
TFX,0.019162493291708615
TGT,0.0
TJX,3.0920326484994613e-18
TMO,0.0
TMUS,0.010116100130309752
TPL,0.04396501593276123
TPR,2.860198046058861e-18
TRGP,6.326925005141112e-18
TRMB,1.5430513914749597e-18
TROW,2.7618070390631984e-17
TRV,0.0
TSCO,0.0
TSLA,0.0
TSN,0.0
TT,1.8238488742264607e-18
TTWO,3.958245664793094e-18
TXN,0.0
TXT,0.0
TYL,6.0737539040702754e-18
UAL,3.0240960418028826e-18
UDR,5.56912865150182e-18
UHS,2.5241732215053183e-19
ULTA,9.564069649499318e-20
UNH,0.0
UNP,0.0
UPS,0.0
URI,1.6412392296904677e-18
USB,0.0
V,8.001428913713363e-18
VLO,0.0
VMC,1.2119468969200272e-17
VRSK,3.993231332383506e-18
VRSN,0.0
VRTX,0.0
VTR,1.6610625093531457e-18
VTRS,0.0
VZ,2.3353427532758918e-17
WAB,0.0
WAT,1.055405116252805e-17
WBA,0.0
WBD,5.531087195139699e-18
WDAY,0.0
WDC,1.1046901981278514e-17
WEC,0.0
WELL,1.108012132753719e-17
WFC,0.0
WM,0.012728882479550117
WMB,0.0
WMT,0.0
WRB,4.482597067743323e-18
WST,3.3244527803568262e-18
WTW,0.04354795931262478
WY,0.0
WYNN,0.0
XEL,0.0
XOM,0.0
XYL,3.3438156069184084e-19
YUM,2.1545548947086177e-18
ZBH,4.305982769604246e-18
ZBRA,0.0
ZTS,0.0
