Ticker,Weight
A,1.0412300675865461e-16
AAPL,4.127324745421011e-17
ABBV,2.47580150349168e-16
ABT,3.8578546217249897e-17
ACGL,8.078128466458558e-17
ACN,0.0
ADBE,0.0
ADI,2.951514894840497e-17
ADM,0.0
ADP,0.0
ADSK,0.0
AEE,1.1120752354702497e-16
AEP,1.3228783339553733e-16
AES,1.8987211309830384e-16
AFL,0.0
AIG,2.944546838463066e-17
AIZ,2.6914028393190947e-16
AJG,0.0
AKAM,0.0
ALB,0.0
ALGN,8.843933156952787e-17
ALL,0.0
ALLE,4.661090049769209e-17
AMAT,7.637290026329048e-17
AMCR,1.4675446008003948e-16
AMD,2.143217751843701e-16
AME,2.402630699155081e-16
AMGN,6.96266088494537e-17
AMP,9.294452859968947e-17
AMT,1.1227299517160676e-16
AMZN,0.0
ANET,6.435395856308609e-17
ANSS,0.0
AON,0.0
AOS,0.0
APA,1.3232186811690472e-16
APD,0.0
APH,0.0
APO,1.9912446188387146e-16
APTV,9.563910212161638e-17
ARE,0.0
ATO,7.35380496994168e-18
AVB,0.0
AVGO,0.0
AVY,0.0
AWK,1.2943599934830894e-16
AXON,0.0
AXP,1.7538841011736196e-17
AZO,1.789090136438058e-16
BA,6.885607603995461e-18
BAC,1.0852547987243112e-16
BALL,0.0
BAX,0.0
BBY,1.2000334028909663e-16
BDX,0.0
BEN,0.0
BG,0.0
BIIB,4.545593599023322e-17
BK,1.6013695921689022e-17
BKNG,0.0
BKR,7.632136276090522e-17
BLDR,6.16668475300698e-17
BLK,0.0
BMY,0.07016108592366113
BR,0.0
BRO,4.4126495327186006e-17
BSX,0.0
BWA,0.0
BX,0.0
BXP,0.0
C,3.9031099678811377e-16
CAG,0.0
CAH,0.0
CAT,4.484543935420051e-18
CB,2.8585415778937725e-17
CBOE,0.0
CBRE,5.802749738184622e-18
CCI,1.737426367661067e-17
CCL,0.0
CDNS,5.913635844180139e-18
CDW,7.943278425595252e-17
CE,1.2509865230471023e-16
CF,0.0
CFG,5.3106082263704227e-17
CHD,1.781541650286352e-17
CHRW,0.041643730089132525
CHTR,0.0
CI,0.0
CINF,4.7219803729837274e-17
CL,1.2842074784856668e-16
CLX,0.11530354081247633
CMCSA,4.7756172414132137e-17
CME,0.0
CMG,2.7552042484406903e-16
CMI,2.5160810567811273e-16
CMS,3.083546775349765e-17
CNC,0.0
CNP,0.0
COF,0.0
COO,0.0
COP,2.0178602047178127e-16
COR,2.6355202565055953e-17
COST,0.0
CPAY,6.444204050452024e-18
CPB,0.0
CPRT,2.1760681858392193e-17
CPT,0.0
CRL,1.0014674411281503e-16
CRM,1.0387459992112233e-16
CRWD,0.0
CSCO,0.0
CSGP,6.342398803722628e-17
CSX,0.0
CTAS,0.0
CTRA,4.023503832842356e-17
CTSH,0.0
CTVA,9.19069002663538e-17
CVS,7.263722419094503e-17
CVX,0.0
CZR,1.988659816721606e-16
D,0.0
DAL,1.1058362792371886e-16
DAY,0.0
DD,1.318696289918548e-16
DE,0.0
DECK,9.18450590093966e-18
DELL,0.0
DFS,9.594929205340246e-17
DG,0.0
DGX,0.0
DHI,0.0
DHR,0.0
DIS,0.0
DLR,0.0
DLTR,0.0
DOC,1.1873424393064455e-17
DOV,6.576140681340503e-17
DOW,1.6497990261718979e-16
DPZ,0.049053003369609674
DRI,0.0
DTE,2.6365880572398144e-17
DUK,5.691531423858576e-17
DVA,7.096766462821262e-17
DVN,6.095373249669265e-17
DXCM,2.9429633860622146e-17
EA,4.2282844968446623e-17
EBAY,0.0
ECL,1.0608616698495988e-17
ED,0.0
EFX,0.0
EG,0.0
EIX,1.026752395802143e-16
EL,1.0956259944257728e-16
ELV,0.0
EMN,1.71423569019636e-17
EMR,0.0
ENPH,0.0
EOG,0.0
EPAM,0.0
EQIX,0.0
EQR,0.0
EQT,1.0770934546294674e-16
ERIE,0.0
ES,0.0
ESS,5.834146124991316e-17
ETN,0.0
ETR,0.0
EVRG,8.808917014513827e-17
EW,0.0
EXC,0.0
EXPD,4.111840917053091e-17
EXPE,0.0
EXR,7.263777920524417e-17
F,1.1979840955414917e-17
FANG,0.0
FAST,2.4263307251399207e-17
FCX,2.742380299300988e-17
FDS,0.0
FDX,0.0
FE,1.2239898944641675e-16
FFIV,0.0
FI,2.5384930774819926e-17
FICO,9.483501197085391e-17
FIS,3.709888423358769e-17
FITB,1.871204386572771e-16
FMC,1.19630624228987e-17
FOX,2.8507798306251044e-17
FOXA,0.0
FRT,4.360798207421452e-17
FSLR,4.2976926812842835e-17
FTNT,0.0
FTV,6.806665830060224e-17
GD,0.0
GDDY,0.0
GE,2.067957824972411e-17
GEN,0.06426519933900783
GILD,0.03959741205410731
GIS,5.4447544221505196e-17
GL,0.0
GLW,1.4553537899879895e-16
GM,2.8571968009707324e-17
GNRC,4.8009221720967076e-18
GOOG,0.0
GOOGL,6.105184864003194e-17
GPC,9.666024120613616e-17
GPN,1.1391550115565195e-16
GRMN,4.0527359959869114e-17
GS,6.283213151301474e-17
GWW,1.2438987001462724e-16
HAL,0.0
HAS,8.52722684531485e-17
HBAN,0.0
HCA,0.0
HD,7.57474791563309e-17
HES,6.930392213707781e-17
HIG,4.414413981385006e-17
HII,6.190011979612793e-17
HLT,0.10103074032062274
HOLX,4.849944544229984e-17
HON,2.1819970140147607e-18
HPE,9.2573829891524e-17
HPQ,2.1763861176772954e-17
HRL,4.0497687465545035e-17
HSIC,2.6769173339135642e-17
HST,0.0
HSY,0.0
HUBB,0.0
HUM,0.0
HWM,5.795192269708414e-17
IBM,1.200597301591113e-16
ICE,0.0
IDXX,1.153088184321825e-18
IEX,5.556247295708108e-18
IFF,0.0
INCY,0.0
INTC,0.0
INTU,3.885063050669861e-17
INVH,8.107358193808563e-17
IP,7.488688380888027e-17
IPG,6.279625851709314e-17
IQV,4.5013718164342674e-17
IR,1.2856641333380538e-16
IRM,0.0
ISRG,2.269560007720652e-17
IT,2.794937131338365e-17
ITW,0.0
IVZ,3.291904339138859e-17
J,2.3347610696669183e-17
JBHT,0.0
JBL,5.0199452891917395e-18
JCI,0.0
JKHY,8.063851962237962e-17
JNJ,0.0
JNPR,2.3059212628725354e-18
JPM,0.0
K,0.07010438159453733
KDP,0.05634331813534172
KEY,0.0
KEYS,2.325760907641173e-17
KHC,8.996219029992347e-17
KIM,1.3542975487129499e-17
KKR,0.0
KLAC,1.8349161948979938e-17
KMB,0.0
KMI,0.0
KMX,2.2431095435655148e-17
KO,0.0
KR,0.1865741925952207
L,6.148896560228019e-17
LDOS,7.307110881791587e-17
LEN,7.18139514081394e-17
LH,1.254553009477591e-16
LHX,0.0
LII,1.3043884962790964e-16
LIN,0.0
LKQ,9.514393955488063e-18
LLY,0.0
LMT,8.237618903083822e-17
LNT,2.983574434732726e-17
LOW,1.8730373849871164e-17
LRCX,0.0
LULU,0.0
LUV,0.0
LVS,0.0
LW,0.0
LYB,4.5843518731487386e-18
LYV,5.2990875846815325e-17
MA,3.4544765831747243e-17
MAA,4.342646832365055e-18
MAR,0.0
MAS,2.2852829289512654e-17
MCD,0.0
MCHP,6.0536138662774416e-18
MCK,5.765653223055099e-17
MCO,1.474973113047792e-16
MDLZ,0.0
MDT,9.701649154069607e-18
MET,0.0
META,5.4128591389377336e-17
MGM,0.0
MHK,0.0
MKC,0.0
MKTX,1.3521629898248207e-16
MLM,0.0
MMC,0.0
MMM,1.7149928460732656e-17
MNST,3.168164816463223e-17
MO,0.0
MOH,0.0
MOS,0.0
MPC,1.905353809317909e-17
MPWR,0.0
MRK,0.0
MRNA,0.007932752481341053
MS,0.0
MSCI,5.473356032576098e-17
MSFT,5.09282365820784e-18
MSI,2.2240450099377527e-17
MTB,0.0
MTCH,3.205446752234797e-17
MTD,3.0814023355893934e-18
MU,1.1174536838100152e-16
NCLH,8.70336994497571e-17
NDAQ,6.389092558013622e-17
NDSN,0.0
NEE,0.0
NEM,0.02704156705216228
NFLX,4.077263793812456e-17
NI,0.0
NKE,0.0
NOC,3.5307816117333607e-17
NOW,3.6305824178799814e-17
NRG,4.800162916426641e-17
NSC,0.0
NTAP,3.786345063534821e-17
NTRS,4.01428455092023e-18
NUE,0.0
NVDA,0.0
NVR,0.0
NWS,0.0
NWSA,2.9225014378881886e-17
NXPI,2.2499612671824078e-17
O,3.786244776499445e-17
ODFL,1.2297517631926566e-17
OKE,1.477719558208476e-17
OMC,4.47283399066581e-17
ON,6.35604661556645e-17
ORCL,0.0
ORLY,0.0
OXY,0.0
PANW,2.3761249385094967e-19
PARA,1.7696108065486566e-17
PAYC,0.0
PAYX,0.0
PCAR,7.49925487414291e-17
PCG,2.0628043904969786e-17
PEG,1.4498533965470417e-17
PEP,0.0
PFE,2.7249713384577616e-17
PFG,0.0
PG,0.0
PGR,0.0
PH,0.0
PHM,0.0
PKG,3.141688202349537e-17
PLD,3.488030445276228e-17
PM,0.0
PNC,5.643133904732396e-17
PNR,0.0
PNW,6.119654906810941e-17
PODD,0.028131972832275344
POOL,3.713047770036563e-17
PPG,0.0
PPL,3.582979671409989e-17
PRU,0.0
PSA,0.0
PSX,0.0
PTC,5.3141438832506326e-17
PWR,2.785342863596245e-18
PYPL,3.5587096263010395e-17
QCOM,8.510593746596044e-17
RCL,1.7415799619650135e-18
REG,5.35468222592847e-18
REGN,0.0
RF,0.0
RJF,0.0
RL,0.0
RMD,2.950558420364688e-17
ROK,0.0
ROL,0.0
ROP,4.8421127070389556e-17
ROST,0.0
RSG,6.171461780403449e-17
RTX,0.0
RVTY,7.55207929951302e-17
SBAC,0.0
SBUX,1.8840343769338002e-17
SCHW,2.1635152255189396e-17
SHW,0.0
SJM,0.01740646308896936
SLB,0.0
SMCI,0.0
SNA,0.0
SNPS,6.138021071243481e-17
SO,0.0
SPG,0.0
SPGI,0.0
SRE,0.0
STE,0.0
STLD,3.946551257235284e-17
STT,0.0
STX,0.0
STZ,3.77832147162702e-18
SWK,8.454089227605674e-17
SWKS,1.1529471416062647e-16
SYF,0.0
SYK,0.0
SYY,3.418872344243728e-17
T,0.0
TAP,0.0
TDG,0.0
TDY,3.928162996054776e-18
TECH,0.0
TEL,7.086287833036616e-17
TER,0.0
TFC,1.0140405933835178e-18
TFX,1.0950956544637168e-17
TGT,1.0982568540876809e-17
TJX,1.1466494391576292e-18
TMO,2.4225133044494023e-18
TMUS,0.0
TPL,0.0
TPR,1.696016092512478e-16
TRGP,3.409708070263403e-17
TRMB,5.2763685119619585e-18
TROW,0.0
TRV,1.207314478167003e-18
TSCO,3.1551606526738017e-17
TSLA,8.975582972614732e-17
TSN,2.6362348978577397e-17
TT,1.609545451987972e-17
TTWO,0.0
TXN,0.0
TXT,0.0
TYL,9.029579512158627e-18
UAL,0.0
UBER,0.0
UDR,1.0030888092801804e-17
UHS,4.36853756814073e-17
ULTA,0.0
UNH,1.6149431871800853e-17
UNP,0.0
UPS,0.0
URI,0.0
USB,2.0389862862194906e-17
V,0.0
VICI,3.072386823974697e-17
VLO,0.0
VMC,6.133262767714947e-17
VRSK,0.0
VRSN,5.0998132305394116e-17
VRTX,0.0
VST,0.0
VTR,8.808794000416804e-18
VTRS,5.300888084734328e-17
VZ,0.1254106403115344
WAB,7.67009545876557e-17
WAT,4.878087154635329e-17
WBA,0.0
WBD,0.0
WDAY,0.0
WDC,4.412992039141528e-18
WEC,4.76601814066651e-18
WELL,0.0
WFC,0.0
WM,2.1087109418319277e-17
WMB,1.3870731818730393e-17
WMT,9.137392564640601e-17
WRB,0.0
WST,0.0
WTW,0.0
WY,1.147471591615974e-16
WYNN,0.0
XEL,0.0
XOM,0.0
XYL,0.0
YUM,0.0
ZBH,1.4303148698037935e-17
ZBRA,0.0
ZTS,0.0
