Year,Real Portfolio Return,Portfolio Risk
2015,0.04490697319243351,0.07725937882218008
2016,0.19901277704721682,0.0750990746447581
2017,0.25822509460148185,0.03467253076450178
2018,-0.0344786172054647,0.08497453076445952
2019,0.35474650221982584,0.068859157642437
2020,0.18345620322053818,0.19400125833778614
2021,0.33068934331831756,0.07583495792398519
2022,-0.08334392209748459,0.13094851208120228
2023,0.20505776422002914,0.07968155422607741
