year,sector,mean,std,min,max
2010,Aerospace,0.15528352622342464,0.06266442723239593,0.11093516851496452,0.33774517751714267
2010,Computer and Technology,0.26036036942769764,0.1544819045679268,0.122873217685447,0.6542850085360716
2010,Construction,0.14902433389445702,0.06981574237649767,0.10207396278135786,0.284114060425871
2010,Energy,0.24003889429042832,0.17560438882026874,0.11991550851663087,0.7232680039326345
2010,Finance,0.16778367990041115,0.13013342493573093,0.0695162113760802,0.6088903094341014
2010,Medical,0.24995924194425911,0.18229533745987156,0.11600385058623255,0.6514909945728026
2010,Oils-Energy,0.19648863359694774,0.08566615320810125,0.11875935084626305,0.34125395628346106
2010,Retail-Wholesale,0.12973854927987397,0.0769937963369622,0.10217588242362685,0.3782318964247791
2010,Transportation,0.1324030746336297,0.07348335114359969,0.10367123251667708,0.41228238440423043
2010,Utilities,0.1565735346573322,0.10807672414422818,0.10376358768533449,0.5273534760308776
2011,Aerospace,0.16101920768299516,0.07847767056661842,0.10846367335523313,0.4041949939405259
2011,Computer and Technology,0.18642239874995925,0.07949366472030517,0.05851092637952036,0.4113998234968678
2011,Construction,0.1534424034165924,0.08111221612593289,0.10210900767473875,0.357648166892867
2011,Energy,0.14265822731980402,0.059731288123894846,0.05739963057188361,0.29921543931809913
2011,Finance,0.14651551628256904,0.02725603120885441,0.11210641010269651,0.20144424633205055
2011,Medical,0.1713110247207307,0.0959207704413345,0.08674399768176334,0.41048895568930693
2011,Oils-Energy,0.13496478039223953,0.02902880673996436,0.09940964559545575,0.17140914684197142
2011,Retail-Wholesale,0.1241158594049506,0.0627572043451401,0.10212093150208522,0.3340929484761452
2011,Transportation,0.12616464438949,0.05770947411276164,0.10231809563547208,0.35858822508581223
2011,Utilities,0.12731633399475648,0.04354859252885493,0.10203458345563653,0.2691617257005573
2012,Aerospace,0.200464368969001,0.10938593565770767,0.107086615215901,0.5420382880274648
2012,Computer and Technology,0.2545385430190514,0.1407181108501727,0.11758919793402574,0.6942844827174857
2012,Construction,0.15296131402883642,0.09749362311355966,0.10204801453010548,0.49100109342857584
2012,Energy,0.17051449656877213,0.08312355282346848,0.08026312869541163,0.40272751293238973
2012,Finance,0.17332154814314724,0.06594972433656356,0.08492796706020962,0.31492304358501505
2012,Medical,0.2203426447784932,0.12376383581544223,0.11249968620419137,0.531743378020183
2012,Oils-Energy,0.16295017575648973,0.04739258439961409,0.11539523730750949,0.238814349355083
2012,Retail-Wholesale,0.1182806583124776,0.04331960797751231,0.10170673175823211,0.2689072602351933
2012,Transportation,0.13340370740979657,0.09942717477082266,0.10181113945309014,0.5184351580458023
2012,Utilities,0.14566260628023564,0.09462426746163742,0.10248303847217415,0.5120882829431732
2013,Aerospace,0.1690448294911581,0.09794916638935498,0.08931841113431108,0.4993003944086527
2013,Computer and Technology,0.17984137717847903,0.0810538669194643,0.003623219120426308,0.3370774105875262
2013,Construction,0.1603702228866387,0.09285900797813751,0.10102514834990536,0.37907847932959005
2013,Energy,0.18324536853090756,0.08980465501461805,0.093193751573545,0.4720903697663279
2013,Finance,0.12508784476580478,0.030715958887701095,0.09943551533310079,0.2032887570983355
2013,Medical,0.1969175713832944,0.12552586526520584,0.11304766439487669,0.5786181104012809
2013,Oils-Energy,0.14785288414669548,0.033244574203237995,0.11493370927599292,0.20311592834548237
2013,Retail-Wholesale,0.1314702303009913,0.08426114071682099,0.10191861586653304,0.42124033598096844
2013,Transportation,0.13259434078543314,0.08579886943071084,0.10010115837467218,0.45088365916304135
2013,Utilities,0.13460406726004398,0.07170153822398338,0.08567033956534909,0.375453760369271
2014,Aerospace,0.15097965712503827,0.05147367614303402,0.10775818820169974,0.2658556207398629
2014,Computer and Technology,0.2959144887091572,0.15924949397579846,0.12601165644373521,0.6725955977869826
2014,Construction,0.1452147717312987,0.09451162014079223,0.10088600321623598,0.45066634524442234
2014,Energy,0.16857358426690508,0.06696958948195154,0.09489393824267221,0.30239947328566213
2014,Finance,0.16062216765769538,0.0411255291298864,0.10655951555761724,0.2643368456205939
2014,Medical,0.2101333931259874,0.12764694597657203,0.11266728285516713,0.6327656967907779
2014,Oils-Energy,0.15609381371419975,0.051113951388373054,0.11493496155761442,0.24183281601451773
2014,Retail-Wholesale,0.13257761453639771,0.09151148643152632,0.10107022961337625,0.4634403482506115
2014,Transportation,0.12101285314406075,0.04707483736002856,0.09900384171130812,0.3012183040161109
2014,Utilities,0.13070848698793727,0.06989329834629736,0.07916876571021632,0.38730908460920327
2015,Aerospace,0.19465332412147957,0.14012117070255514,0.10662297048684531,0.6702930279440127
2015,Computer and Technology,0.26758682339077006,0.2114081890668807,0.08762196054786073,1.0
2015,Construction,0.14164590670474164,0.0715858523851179,0.07570958149584553,0.31630442927319286
2015,Energy,0.1897319846794526,0.09293440458130404,0.10863336298013411,0.43342506829033506
2015,Finance,0.15615370692614694,0.05380823317650919,0.10239896494827576,0.2906671841344138
2015,Medical,0.22284811123556394,0.144353258968341,0.11222453710300172,0.6253961761430747
2015,Oils-Energy,0.14927578259409993,0.027118151611305548,0.1215951137373883,0.18894749525477803
2015,Retail-Wholesale,0.12557379342362052,0.06785765166500159,0.10183296858803235,0.3784864676060215
2015,Transportation,0.12345832860193962,0.054567855499020476,0.09910630780299755,0.3299210204609564
2015,Utilities,0.13271849576801287,0.05783228725022175,0.1001938858663676,0.3121011558831595
2016,Aerospace,0.1561843513298094,0.05012758547558712,0.10947507902548878,0.28728697227648153
2016,Computer and Technology,0.23410206220010743,0.10316419470886716,0.08351100683461592,0.5468593336031241
