sector,industry,year,mean,std,count
Aerospace,Reusable Rockets,2022,0.11939036121462308,,1
Aerospace,Reusable Rockets,2023,0.11034923563214555,,1
Aerospace,Reusable Rockets,2024,0.10495906326210908,,1
Aerospace,Satellite Communication,2011,0.10846367335523313,,1
Aerospace,Satellite Communication,2012,0.107086615215901,,1
Aerospace,Satellite Communication,2013,0.10916534100804197,,1
Aerospace,Satellite Communication,2014,0.10906583403593524,,1
Aerospace,Satellite Communication,2015,0.10662297048684531,,1
Aerospace,Satellite Communication,2016,0.11493490523199218,,1
Aerospace,Satellite Communication,2017,0.10902293396916236,,1
Aerospace,Satellite Communication,2018,0.11541363414877064,,1
Aerospace,Satellite Communication,2019,0.11026238939710026,,1
Aerospace,Satellite Communication,2020,0.11659519740737656,,1
Aerospace,Satellite Communication,2024,0.10056590326262786,,1
Aerospace,Satellite Manufacturing,2010,0.1354070462044109,0.018379114290242946,2
Aerospace,Satellite Manufacturing,2011,0.12734976956690464,0.01136747176280147,2
Aerospace,Satellite Manufacturing,2012,0.1530090359516075,0.04651175312663427,2
Aerospace,Satellite Manufacturing,2013,0.1221347028537334,0.023754113191801585,2
Aerospace,Satellite Manufacturing,2014,0.1624199980953968,,1
Aerospace,Satellite Manufacturing,2015,0.22549190127095733,,1
Aerospace,Satellite Manufacturing,2017,0.17005385165471726,,1
Aerospace,Satellite Manufacturing,2018,0.1721652852044948,,1
Aerospace,Satellite Manufacturing,2019,0.24975162838552448,0.11899029382133931,2
Aerospace,Satellite Manufacturing,2020,0.18222912418514264,,1
Aerospace,Satellite Manufacturing,2021,0.14742101222649137,,1
Aerospace,Satellite Manufacturing,2022,0.14323889369321444,,1
Aerospace,Satellite Manufacturing,2023,0.0955863634329163,0.0491182463057216,2
Aerospace,Satellite Manufacturing,2024,0.10975106170372227,,1
Aerospace,Space Debris Management,2010,0.33774517751714267,,1
Aerospace,Space Debris Management,2011,0.4041949939405259,,1
Aerospace,Space Debris Management,2012,0.5420382880274648,,1
Aerospace,Space Debris Management,2013,0.4993003944086527,,1
Aerospace,Space Debris Management,2014,0.15790786644218976,,1
Aerospace,Space Debris Management,2015,0.6702930279440127,,1
Aerospace,Space Debris Management,2016,0.18652313904012707,,1
Aerospace,Space Debris Management,2017,0.6837471217968891,,1
Aerospace,Space Debris Management,2018,0.6261261362936676,,1
Aerospace,Space Debris Management,2019,0.3974331286702859,,1
Aerospace,Space Debris Management,2020,0.6283832071661375,,1
Aerospace,Space Debris Management,2021,0.5259055242712344,,1
Aerospace,Space Debris Management,2023,0.44104997926360345,,1
Aerospace,Space Debris Management,2024,0.09432483471933231,,1
Aerospace,Space Exploration,2011,0.2417860512543669,,1
Aerospace,Space Exploration,2012,0.2638566682104178,,1
Aerospace,Space Exploration,2013,0.24913220979714804,,1
Aerospace,Space Exploration,2014,0.12848487356629518,,1
Aerospace,Space Exploration,2015,0.3499052065877951,,1
Aerospace,Space Exploration,2016,0.2517000867407994,,1
Aerospace,Space Exploration,2017,0.3016318620295251,,1
Aerospace,Space Exploration,2018,0.29482288194209555,,1
Aerospace,Space Exploration,2019,0.32105912886901267,,1
Aerospace,Space Exploration,2020,0.2860066744716024,,1
Aerospace,Space Exploration,2021,0.17981498359148568,,1
Aerospace,Space Exploration,2022,0.2406917971836273,,1
Aerospace,Space Exploration,2023,0.20096020720902644,,1
Aerospace,Unmanned Aerial Vehicles (UAVs),2010,0.1264879534159748,0.0076937489611861665,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2011,0.1279082897100107,0.007260485239748201,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2012,0.1405048972935595,0.013413810906345214,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2013,0.13705628225726535,0.0064085479109920965,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2014,0.12653804643319294,0.010918623333942265,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2015,0.13855556060812166,0.009957772360357692,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2016,0.16333442654440183,0.016698611310689455,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2017,0.1457851213482246,0.012659901761511447,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2018,0.15799034244951643,0.010869064672715017,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2019,0.15154679541456376,0.009371668796018667,4
Aerospace,Unmanned Aerial Vehicles (UAVs),2020,0.15215828786144206,0.013403866396891733,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2021,0.1393923244127466,0.012053688737597285,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2022,0.13104571085663935,0.00678938752650827,5
Aerospace,Unmanned Aerial Vehicles (UAVs),2023,0.11937339113059248,0.007398362910554363,6
Aerospace,Unmanned Aerial Vehicles (UAVs),2024,0.11288346437609313,0.00424353626897094,5
Computer and Technology,Artificial Neural Networks,2010,0.15356313575052985,0.026866760717993977,3
Computer and Technology,Artificial Neural Networks,2011,0.14747238119181508,0.023620200399709895,3
Computer and Technology,Artificial Neural Networks,2012,0.24367770181732462,0.1608118406708111,3
Computer and Technology,Artificial Neural Networks,2013,0.12230549494715488,0.06814541049982314,3
Computer and Technology,Artificial Neural Networks,2014,0.24871321438188235,0.18172036377261466,3
Computer and Technology,Artificial Neural Networks,2015,0.21912731599126742,0.10907628587250888,3
Computer and Technology,Artificial Neural Networks,2016,0.219578166735683,0.09050860730613428,3
Computer and Technology,Artificial Neural Networks,2017,0.263806088122623,0.11810090309013324,2
Computer and Technology,Artificial Neural Networks,2018,0.17954754924051794,0.05410861524026839,3
Computer and Technology,Artificial Neural Networks,2019,0.24336615067460463,0.11334865521079605,2
Computer and Technology,Artificial Neural Networks,2020,0.1696093126158509,0.029057223741251956,3
Computer and Technology,Artificial Neural Networks,2021,0.15570973534986757,0.046553964674509056,3
Computer and Technology,Artificial Neural Networks,2022,0.1843515106474268,0.017484440616126688,3
Computer and Technology,Artificial Neural Networks,2023,0.2043682753013176,0.06045235408760329,3
Computer and Technology,Artificial Neural Networks,2024,0.07836405050075232,0.025485234039983214,3
Computer and Technology,Augmented Analytics,2010,0.3171919680385856,0.1683622526226607,2
Computer and Technology,Augmented Analytics,2011,0.14828132811040287,,1
Computer and Technology,Augmented Analytics,2012,0.3111041305919983,,1
Computer and Technology,Augmented Analytics,2013,0.18071097124238963,,1
Computer and Technology,Augmented Analytics,2014,0.3459751412923707,,1
Computer and Technology,Augmented Analytics,2015,0.12062627999507435,,1
Computer and Technology,Augmented Analytics,2016,0.25169260479559996,0.09578011734300143,2
Computer and Technology,Augmented Analytics,2017,0.2760503117817726,0.04896010457940859,2
Computer and Technology,Augmented Analytics,2018,0.19509286013705068,0.03205156374059562,2
Computer and Technology,Augmented Analytics,2019,0.3598877074609769,,1
Computer and Technology,Augmented Analytics,2020,0.3160260911211487,,1
Computer and Technology,Augmented Analytics,2021,0.20746565766834282,,1
Computer and Technology,Augmented Analytics,2022,0.24848837364589055,0.051031565968507005,2
Computer and Technology,Augmented Analytics,2023,0.21821229665581032,0.04587118560443371,2
Computer and Technology,Augmented Analytics,2024,0.12296897121800202,0.008227520232980118,2
Computer and Technology,Cloud Computing,2010,0.3717926975648702,,1
Computer and Technology,Cloud Computing,2011,0.2884761302583605,,1
Computer and Technology,Cloud Computing,2012,0.32341124446075903,,1
Computer and Technology,Cloud Computing,2013,0.2615139718198209,,1
Computer and Technology,Cloud Computing,2014,0.36390708500153374,,1
Computer and Technology,Cloud Computing,2015,0.3054947231097772,,1
Computer and Technology,Cloud Computing,2016,0.31371650485275343,,1
Computer and Technology,Cloud Computing,2017,0.4367794450480125,,1
Computer and Technology,Cloud Computing,2018,0.2695715349800627,,1
Computer and Technology,Cloud Computing,2019,0.4419033683852621,,1
Computer and Technology,Cloud Computing,2020,0.26241780330486736,,1
Computer and Technology,Cloud Computing,2021,0.3909252739000943,,1
Computer and Technology,Cloud Computing,2022,0.21495732757694738,,1
Computer and Technology,Cloud Computing,2023,0.21512269760338684,,1
Computer and Technology,Cloud Computing,2024,0.14760904148137918,,1
Computer and Technology,Cybersecurity,2010,0.122873217685447,,1
Computer and Technology,Cybersecurity,2011,0.11389018155344204,,1
Computer and Technology,Cybersecurity,2012,0.12303399438091375,,1
Computer and Technology,Cybersecurity,2013,0.11817052454449732,,1
Computer and Technology,Cybersecurity,2014,0.1344757874133354,,1
Computer and Technology,Cybersecurity,2015,0.12669527962255725,,1
Computer and Technology,Cybersecurity,2016,0.15558322798480295,,1
Computer and Technology,Cybersecurity,2017,0.13075016974627918,,1
Computer and Technology,Cybersecurity,2018,0.15104489917736388,,1
